,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
523,남,40.0,2,2,2,4,3,4,3,4,3,2.0,2,제줏간,3.0
524,여,40.0,7,7,1,7,7,7,7,7,5,4.0,2,롯데월드,4.0
526,여,30.0,4,2,6,1,4,6,1,5,1,1.0,6,춘천골닭갈비,4.0
527,여,20.0,2,1,6,1,2,7,7,7,1,1.0,7,신세계백화점 강남점,4.0
528,남,20.0,1,1,2,1,1,1,4,3,1,0.0,25,수정사우나,3.0
529,여,20.0,5,2,1,3,4,5,5,1,3,1.0,3,호텔아르떼,4.0
530,여,20.0,6,2,2,2,1,1,6,6,1,1.0,26,또보겠지떡볶이집 호호시스터점,5.0
532,여,40.0,4,3,2,3,1,4,6,2,1,0.0,2,정읍역,5.0
538,여,30.0,2,2,2,2,4,5,2,6,9,1.0,2,가평 JH풀빌라,5.0
539,여,30.0,1,1,1,2,7,1,2,7,3,2.0,3,전통술박물관산사원 본원,5.0
540,여,20.0,5,2,5,3,3,6,6,2,1,0.0,3,드라마 “그해우리는” 촬영지,4.0
543,여,20.0,7,2,2,1,4,5,3,5,3,1.0,2,현대백화점 판교점,4.0
544,여,30.0,1,1,1,3,3,2,6,6,1,0.0,3,하이커그라운드,4.0
545,여,20.0,2,4,2,2,4,2,2,6,2,0.0,6,수원시립미술관,4.0
546,남,30.0,4,1,2,5,1,5,6,3,2,1.0,23,조무락닭갈비,5.0
547,남,20.0,4,4,1,4,7,7,1,7,1,1.0,6,미도인 파이낸스여의도점,5.0
548,남,20.0,7,1,5,1,1,5,1,4,3,2.0,23,로도스피자,5.0
554,남,30.0,4,2,3,3,1,3,3,3,2,0.0,21,두원빌딩,4.0
